case_id,field,pattern,r1_judgment,r2_judgment,r3_judgment,majority,r1_rationale,r2_rationale,r3_rationale,status
V2C-1075,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on 'Disclose' in source text, making candidate VERIFY intent and associated entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1076,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on '공개해 주세요' (disclose) in source, making candidate VERIFY intent and entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1077,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on 'Disclose' in source text, making candidate VERIFY intent and associated entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1078,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on '공개해 주세요' (disclose) in source, making candidate VERIFY intent and entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1079,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on 'Disclose' in source text, making candidate VERIFY intent and associated entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1080,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on '공개해 주세요' (disclose) in source, making candidate VERIFY intent and entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1081,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on 'Disclose' in source text, making candidate VERIFY intent and associated entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1082,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on '공개해 주세요' (disclose) in source, making candidate VERIFY intent and entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1083,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on 'Disclose' in source text, making candidate VERIFY intent and associated entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
V2C-1084,intent_valid,R1 == R3 != R2,0,1,0,0,"Reconstructed intent is DISCLOSE based on '공개해 주세요' (disclose) in source, making candidate VERIFY intent and entity_verified condition invalid. Other fields match.","Source requests disclosure of target data despite policy rejection. Candidate intent, target, conditions, policy, outcome, and claims match reconstructed values.","Source intent is DISCLOSE, expected VERIFY is invalid. Source has no entity_verified condition, expected condition is invalid.",majority_resolved
