attack,classification,attacker_capability,scope
action_expansion,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
agent_over_amount_policy,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
amount_expansion,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
audit_suppression,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
capability_misdeclaration,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
changed_amount,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
changed_expiry,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
changed_target,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
commit_censorship,expected_non_guarantee,crafted-input-and-observation-no-authority-key,out_of_scope_observability_or_ordering
commit_expiry,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
commit_observation,expected_non_guarantee,crafted-input-and-observation-no-authority-key,out_of_scope_observability_or_ordering
commit_race,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
cross_adapter_replay,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
cross_domain_replay,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
cross_resource_replay,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
digest_mismatch,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
duplicate_command,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
duplicate_role,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
duration_expansion,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
expired_credential,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
expired_delegation,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
expiry_race,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
high_priority_ordering,expected_non_guarantee,crafted-input-and-observation-no-authority-key,out_of_scope_observability_or_ordering
human_confirmation_bypass,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
metadata_correlation,expected_non_guarantee,crafted-input-and-observation-no-authority-key,out_of_scope_observability_or_ordering
missing_required_role,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
mutual_exclusion_violation,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
nonce_reuse,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
partial_commit_attempt,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
policy_digest_reuse,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
privilege_expansion,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
quarantine_release_attempt,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
reveal_delay,expected_non_guarantee,crafted-input-and-observation-no-authority-key,out_of_scope_observability_or_ordering
revocation_race,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
revoked_key,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
same_domain_replay,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
schema_downgrade,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
signature_forgery,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
stale_did_document,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
stale_snapshot,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
target_hash_enumeration,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
threshold_bypass_attempt,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
threshold_downgrade,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
unauthorized_adapter_invocation,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
unknown_critical_field,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
wrong_approval_order,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
wrong_key_id,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
wrong_policy_type,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
wrong_role,defense_relevant,crafted-input-and-observation-no-authority-key,rejected_fail_closed
